species,model,dataset,threshold,scaling_factor,season_start,season_end,mean_in_season,mean_out_season,ratio_mean,kendall_corr
Corylus,2025-Beta-1,Basel,"0,95","7,8389",26.01.2024,19.02.2024,"5,7663","0,8362","0,145","0,5671"
Corylus,2025-Beta-1,Basel,"0,96","8,1852",26.01.2024,19.02.2024,"5,535","0,7768","0,1403","0,5742"
Corylus,2025-Beta-1,Basel,"0,97","8,6162",26.01.2024,19.02.2024,"5,2655","0,7021","0,1333","0,5812"
Corylus,2025-Beta-1,Basel,"0,98","9,2961",26.01.2024,19.02.2024,"4,8839","0,5981","0,1225","0,5966"
Corylus,2025-Beta-1,Basel,"0,99","10,692",26.01.2024,19.02.2024,"4,2771","0,4741","0,1109","0,6065"
Corylus,2025-Beta-1,Basel,"0,999","17,7362",26.01.2024,19.02.2024,"2,6045","0,2266","0,087","0,6318"
Corylus,2025-Beta-1,Basel,"0,9999","31,3689",26.01.2024,19.02.2024,"1,4601","0,1051","0,072","0,6668"
Corylus,2025-Beta-1,Basel,1,"63,2118",26.01.2024,19.02.2024,"0,7125","0,0442","0,0621","0,6899"
Corylus,2025-Beta-1,Basel,1,"142,2586",26.01.2024,19.02.2024,"0,3028","0,0187","0,0618","0,6784"
Corylus,2025-Beta-1,Basel,1,"338,7303",26.01.2024,19.02.2024,"0,1229","0,0072","0,0587","0,666"
Cupressaceae,2025-Beta-1,Basel,0,"13,2759",11.02.2024,01.03.2024,"3,2153","3,8722","1,2043","0,3422"
Cupressaceae,2025-Beta-1,Basel,"0,2","13,2759",11.02.2024,01.03.2024,"3,2153","3,8722","1,2043","0,3422"
Cupressaceae,2025-Beta-1,Basel,"0,4","13,6596",11.02.2024,01.03.2024,"3,143","3,778","1,202","0,3431"
Cupressaceae,2025-Beta-1,Basel,"0,6","16,4794",11.02.2024,01.03.2024,"2,6397","3,2636","1,2364","0,3321"
Cupressaceae,2025-Beta-1,Basel,"0,75","20,7368",11.02.2024,01.03.2024,"2,1687","2,7797","1,2817","0,3248"
Cupressaceae,2025-Beta-1,Basel,"0,8","22,3134",11.02.2024,01.03.2024,"2,0281","2,6007","1,2823","0,3197"
Cupressaceae,2025-Beta-1,Basel,"0,85","24,7409",11.02.2024,01.03.2024,"1,8358","2,394","1,3041","0,312"
Cupressaceae,2025-Beta-1,Basel,"0,9","28,3785",11.02.2024,01.03.2024,"1,5959","2,1448","1,3439","0,3047"
Cupressaceae,2025-Beta-1,Basel,"0,91","29,0599",11.02.2024,01.03.2024,"1,5621","2,0826","1,3332","0,3083"
Cupressaceae,2025-Beta-1,Basel,"0,92","29,9913",11.02.2024,01.03.2024,"1,5108","2,0135","1,3327","0,3041"
Cupressaceae,2025-Beta-1,Basel,"0,93","30,7709",11.02.2024,01.03.2024,"1,457","1,942","1,3329","0,2934"
Cupressaceae,2025-Beta-1,Basel,"0,94","31,9546",11.02.2024,01.03.2024,"1,3997","1,867","1,3339","0,2915"
Cupressaceae,2025-Beta-1,Basel,"0,95","33,7298",11.02.2024,01.03.2024,"1,3248","1,7761","1,3407","0,2903"
Cupressaceae,2025-Beta-1,Basel,"0,96","36,2145",11.02.2024,01.03.2024,"1,2423","1,6714","1,3454","0,2915"
Cupressaceae,2025-Beta-1,Basel,"0,97","39,0645",11.02.2024,01.03.2024,"1,1428","1,5594","1,3646","0,2928"
Cupressaceae,2025-Beta-1,Basel,"0,98","42,8301",11.02.2024,01.03.2024,"1,0343","1,3924","1,3462","0,2841"
Cupressaceae,2025-Beta-1,Basel,"0,99","51,4318",11.02.2024,01.03.2024,"0,8704","1,1416","1,3116","0,2816"
Cupressaceae,2025-Beta-1,Basel,"0,999","99,7428",11.02.2024,01.03.2024,"0,4417","0,5637","1,2762","0,264"
Cupressaceae,2025-Beta-1,Basel,"0,9999","191,2122",11.02.2024,01.03.2024,"0,2269","0,2425","1,0689","0,2601"
Cupressaceae,2025-Beta-1,Basel,1,"398,1508",11.02.2024,01.03.2024,"0,1029","0,0862","0,8375","0,2522"
Cupressaceae,2025-Beta-1,Basel,1,"726,7258",11.02.2024,01.03.2024,"0,0391","0,023","0,5891","0,1535"
Cupressaceae,2025-Beta-1,Basel,1,1000,11.02.2024,01.03.2024,"0,013","0,0076","0,5831","0,1748"
Fagus,2025-Beta-1,Basel,0,"7,6525",06.04.2024,05.05.2024,"0,766","0,0327","0,0427","0,5663"
Fagus,2025-Beta-1,Basel,"0,2","7,6525",06.04.2024,05.05.2024,"0,766","0,0327","0,0427","0,5663"
Fagus,2025-Beta-1,Basel,"0,4","7,7006",06.04.2024,05.05.2024,"0,7589","0,0302","0,0398","0,562"
Fagus,2025-Beta-1,Basel,"0,6","8,1539",06.04.2024,05.05.2024,"0,7153","0,0241","0,0337","0,5804"
Fagus,2025-Beta-1,Basel,"0,75","8,5945",06.04.2024,05.05.2024,"0,6644","0,0163","0,0246","0,5931"
Fagus,2025-Beta-1,Basel,"0,8","8,7749",06.04.2024,05.05.2024,"0,6491","0,0153","0,0236","0,6005"
Fagus,2025-Beta-1,Basel,"0,85","9,0529",06.04.2024,05.05.2024,"0,63","0,0127","0,0201","0,6145"
Fagus,2025-Beta-1,Basel,"0,9","9,4368",06.04.2024,05.05.2024,"0,6034","0,011","0,0183","0,6339"
Fagus,2025-Beta-1,Basel,"0,91","9,4608",06.04.2024,05.05.2024,"0,5992","0,0108","0,0181","0,6347"
Fagus,2025-Beta-1,Basel,"0,92","9,5623",06.04.2024,05.05.2024,"0,5944","0,0102","0,0172","0,6433"
Fagus,2025-Beta-1,Basel,"0,93","9,6209",06.04.2024,05.05.2024,"0,5896","0,009","0,0152","0,6588"
Fagus,2025-Beta-1,Basel,"0,94","9,6967",06.04.2024,05.05.2024,"0,5841","0,0082","0,014","0,6662"
Fagus,2025-Beta-1,Basel,"0,95","9,8354",06.04.2024,05.05.2024,"0,5763","0,0078","0,0135","0,6659"
Fagus,2025-Beta-1,Basel,"0,96","9,8647",06.04.2024,05.05.2024,"0,5703","0,0072","0,0125","0,6659"
Fagus,2025-Beta-1,Basel,"0,97","10,2373",06.04.2024,05.05.2024,"0,5516","0,0065","0,0119","0,6666"
Fagus,2025-Beta-1,Basel,"0,98","10,465",06.04.2024,05.05.2024,"0,5388","0,0061","0,0114","0,6714"
Fagus,2025-Beta-1,Basel,"0,99","11,009",06.04.2024,05.05.2024,"0,5097","0,0047","0,0092","0,6813"
Fagus,2025-Beta-1,Basel,"0,999","12,7827",06.04.2024,05.05.2024,"0,4324","0,0027","0,0061","0,7335"
Fagus,2025-Beta-1,Basel,"0,9999","14,7927",06.04.2024,05.05.2024,"0,3649","0,001","0,0028","0,7886"
Fagus,2025-Beta-1,Basel,1,"18,806",06.04.2024,05.05.2024,"0,2808","0,0006","0,0022","0,8093"
Fagus,2025-Beta-1,Basel,1,"25,9214",06.04.2024,05.05.2024,"0,1994","0,0004","0,002","0,8166"
Fagus,2025-Beta-1,Basel,1,"37,2517",06.04.2024,05.05.2024,"0,1356","0,0002","0,0015","0,7644"
Fraxinus,2025-Beta-1,Basel,0,"0,6546",15.03.2024,11.04.2024,"67,7734","12,639","0,1865","0,5711"
Fraxinus,2025-Beta-1,Basel,"0,2","0,6546",15.03.2024,11.04.2024,"67,7727","12,639","0,1865","0,5711"
Fraxinus,2025-Beta-1,Basel,"0,4","0,6618",15.03.2024,11.04.2024,"67,2057","12,5078","0,1861","0,5731"
Fraxinus,2025-Beta-1,Basel,"0,6","0,7159",15.03.2024,11.04.2024,"63,0262","10,9665","0,174","0,5853"
Fraxinus,2025-Beta-1,Basel,"0,75","0,7872",15.03.2024,11.04.2024,"58,4169","9,3382","0,1599","0,5964"
Fraxinus,2025-Beta-1,Basel,"0,8","0,8204",15.03.2024,11.04.2024,"56,5325","8,75","0,1548","0,6021"
Fraxinus,2025-Beta-1,Basel,"0,85","0,8618",15.03.2024,11.04.2024,"54,3343","8,09","0,1489","0,609"
Fraxinus,2025-Beta-1,Basel,"0,9","0,9226",15.03.2024,11.04.2024,"51,4331","7,3215","0,1423","0,6163"
Fraxinus,2025-Beta-1,Basel,"0,91","0,9385",15.03.2024,11.04.2024,"50,7383","7,1371","0,1407","0,6178"
Fraxinus,2025-Beta-1,Basel,"0,92","0,9558",15.03.2024,11.04.2024,"50,0058","6,9457","0,1389","0,6216"
Fraxinus,2025-Beta-1,Basel,"0,93","0,9759",15.03.2024,11.04.2024,"49,1636","6,7339","0,137","0,6239"
Fraxinus,2025-Beta-1,Basel,"0,94","1,0001",15.03.2024,11.04.2024,"48,2115","6,4991","0,1348","0,6282"
Fraxinus,2025-Beta-1,Basel,"0,95","1,0309",15.03.2024,11.04.2024,"47,076","6,2447","0,1327","0,6332"
Fraxinus,2025-Beta-1,Basel,"0,96","1,0664",15.03.2024,11.04.2024,"45,7999","5,9474","0,1299","0,6406"
Fraxinus,2025-Beta-1,Basel,"0,97","1,116",15.03.2024,11.04.2024,"44,1637","5,5708","0,1261","0,6453"
Fraxinus,2025-Beta-1,Basel,"0,98","1,1856",15.03.2024,11.04.2024,"42,0282","5,106","0,1215","0,6522"
Fraxinus,2025-Beta-1,Basel,"0,99","1,3211",15.03.2024,11.04.2024,"38,4166","4,4159","0,1149","0,6626"
Fraxinus,2025-Beta-1,Basel,"0,999","1,8123",15.03.2024,11.04.2024,"28,9537","2,732","0,0944","0,6987"
Fraxinus,2025-Beta-1,Basel,"0,9999","2,3491",15.03.2024,11.04.2024,"22,3508","1,7067","0,0764","0,7198"
Fraxinus,2025-Beta-1,Basel,1,"3,0226",15.03.2024,11.04.2024,"17,2938","1,0885","0,0629","0,7288"
Fraxinus,2025-Beta-1,Basel,1,"4,065",15.03.2024,11.04.2024,"12,7815","0,7136","0,0558","0,7349"
Fraxinus,2025-Beta-1,Basel,1,"5,2884",15.03.2024,11.04.2024,"9,7663","0,4992","0,0511","0,73"
Pinaceae,2025-Beta-1,Basel,0,"3,1481",09.04.2024,18.04.2024,"7,1894","2,9722","0,4134","0,6088"
Pinaceae,2025-Beta-1,Basel,"0,2","3,1481",09.04.2024,18.04.2024,"7,1894","2,9722","0,4134","0,6088"
Pinaceae,2025-Beta-1,Basel,"0,4","3,1598",09.04.2024,18.04.2024,"7,1389","2,9334","0,4109","0,6142"
Pinaceae,2025-Beta-1,Basel,"0,6","3,2517",09.04.2024,18.04.2024,"6,8293","2,7588","0,404","0,6191"
Pinaceae,2025-Beta-1,Basel,"0,75","3,348",09.04.2024,18.04.2024,"6,5601","2,5927","0,3952","0,6245"
Pinaceae,2025-Beta-1,Basel,"0,8","3,3892",09.04.2024,18.04.2024,"6,4488","2,5242","0,3914","0,6286"
Pinaceae,2025-Beta-1,Basel,"0,85","3,4308",09.04.2024,18.04.2024,"6,3412","2,4548","0,3871","0,6336"
Pinaceae,2025-Beta-1,Basel,"0,9","3,4905",09.04.2024,18.04.2024,"6,2108","2,3685","0,3814","0,6377"
Pinaceae,2025-Beta-1,Basel,"0,91","3,5002",09.04.2024,18.04.2024,"6,183","2,3439","0,3791","0,638"
Pinaceae,2025-Beta-1,Basel,"0,92","3,5139",09.04.2024,18.04.2024,"6,1465","2,3185","0,3772","0,6379"
Pinaceae,2025-Beta-1,Basel,"0,93","3,5235",09.04.2024,18.04.2024,"6,1099","2,291","0,375","0,6391"
Pinaceae,2025-Beta-1,Basel,"0,94","3,5459",09.04.2024,18.04.2024,"6,0734","2,2605","0,3722","0,6401"
Pinaceae,2025-Beta-1,Basel,"0,95","3,5606",09.04.2024,18.04.2024,"6,0418","2,2266","0,3685","0,6416"
Pinaceae,2025-Beta-1,Basel,"0,96","3,5894",09.04.2024,18.04.2024,"5,9915","2,1854","0,3648","0,6414"
Pinaceae,2025-Beta-1,Basel,"0,97","3,6122",09.04.2024,18.04.2024,"5,9237","2,1346","0,3603","0,6443"
Pinaceae,2025-Beta-1,Basel,"0,98","3,6479",09.04.2024,18.04.2024,"5,8193","2,0667","0,3552","0,6433"
Pinaceae,2025-Beta-1,Basel,"0,99","3,7004",09.04.2024,18.04.2024,"5,6977","1,9395","0,3404","0,6436"
Pinaceae,2025-Beta-1,Basel,"0,999","3,9526",09.04.2024,18.04.2024,"5,3052","1,5892","0,2996","0,6513"
