Name,Year,Teams,Total Posts,Total Comments,Total Scores,Avg Sentiment (TextBlob),Avg Sentiment (Vader),Viewers (Millions),combined_text,clean_text
2021 Stanley Cup Finals Game 5,2021,"Tampa Bay Lightning, Montreal Canadiens",11,149,147,0.1124843149274967,0.3363454545454545,2.92,"2021 Stanley Cup Finals Game 5 Tampa Bay Lightning, Montreal Canadiens",stanley cup final game tampa bay lightning montreal canadiens
2022 Stanley Cup Finals Game 1,2022,"Tampa Bay Lightning, Colorado Avalanche",21,286,1229,0.1302070601100156,0.3096571428571428,4.2,"2022 Stanley Cup Finals Game 1 Tampa Bay Lightning, Colorado Avalanche",stanley cup final game tampa bay lightning colorado avalanche
2022 Stanley Cup Finals Game 2,2022,"Tampa Bay Lightning, Colorado Avalanche",12,937,1987,-0.0227421847788227,0.2239,3.747,"2022 Stanley Cup Finals Game 2 Tampa Bay Lightning, Colorado Avalanche",stanley cup final game tampa bay lightning colorado avalanche
2022 Stanley Cup Finals Game 3,2022,"Tampa Bay Lightning, Colorado Avalanche",11,795,835,-0.0727701231627965,0.0946272727272727,4.103,"2022 Stanley Cup Finals Game 3 Tampa Bay Lightning, Colorado Avalanche",stanley cup final game tampa bay lightning colorado avalanche
2022 Stanley Cup Finals Game 4,2022,"Tampa Bay Lightning, Colorado Avalanche",5,387,161,0.0112121212121212,-0.16178,4.599,"2022 Stanley Cup Finals Game 4 Tampa Bay Lightning, Colorado Avalanche",stanley cup final game tampa bay lightning colorado avalanche
2022 Stanley Cup Finals Game 5,2022,"Tampa Bay Lightning, Colorado Avalanche",13,576,707,0.1475276806526806,0.3993538461538461,5.145,"2022 Stanley Cup Finals Game 5 Tampa Bay Lightning, Colorado Avalanche",stanley cup final game tampa bay lightning colorado avalanche
2022 Stanley Cup Finals Game 6,2022,"Tampa Bay Lightning, Colorado Avalanche",8,159,264,0.1069839015151515,0.5105625,5.817,"2022 Stanley Cup Finals Game 6 Tampa Bay Lightning, Colorado Avalanche",stanley cup final game tampa bay lightning colorado avalanche
2023 Stanley Cup Finals Game 1,2023,"Florida Panthers, Vegas Golden Knights",19,367,1636,0.2259273182957393,0.4054631578947368,2.753,"2023 Stanley Cup Finals Game 1 Florida Panthers, Vegas Golden Knights",stanley cup final game florida panther vega golden knight
2023 Stanley Cup Finals Game 2,2023,"Florida Panthers, Vegas Golden Knights",21,568,1729,0.1593726134032256,0.3406666666666667,2.445,"2023 Stanley Cup Finals Game 2 Florida Panthers, Vegas Golden Knights",stanley cup final game florida panther vega golden knight
2023 Stanley Cup Finals Game 3,2023,"Florida Panthers, Vegas Golden Knights",18,796,3312,0.011194150499706,0.1481277777777777,2.688,"2023 Stanley Cup Finals Game 3 Florida Panthers, Vegas Golden Knights",stanley cup final game florida panther vega golden knight
2023 Stanley Cup Finals Game 4,2023,"Florida Panthers, Vegas Golden Knights",14,273,1206,0.0717037724180581,0.0123214285714285,2.562,"2023 Stanley Cup Finals Game 4 Florida Panthers, Vegas Golden Knights",stanley cup final game florida panther vega golden knight
2023 Stanley Cup Finals Game 5,2023,"Florida Panthers, Vegas Golden Knights",22,382,2685,0.0099483104741808,0.0869045454545454,2.721,"2023 Stanley Cup Finals Game 5 Florida Panthers, Vegas Golden Knights",stanley cup final game florida panther vega golden knight
2024 Stanley Cup Finals Game 1,2024,"Edmonton Oilers, Florida Panthers",45,21,45,0.1166557863189441,0.1912377777777777,3.115,"2024 Stanley Cup Finals Game 1 Edmonton Oilers, Florida Panthers",stanley cup final game edmonton oiler florida panther
2024 Stanley Cup Finals Game 2,2024,"Edmonton Oilers, Florida Panthers",42,21,44,0.0560620257457663,0.1861690476190475,3.558,"2024 Stanley Cup Finals Game 2 Edmonton Oilers, Florida Panthers",stanley cup final game edmonton oiler florida panther
2024 Stanley Cup Finals Game 3,2024,"Edmonton Oilers, Florida Panthers",12,0,12,-0.0105681818181818,0.327525,3.352,"2024 Stanley Cup Finals Game 3 Edmonton Oilers, Florida Panthers",stanley cup final game edmonton oiler florida panther
2024 Stanley Cup Finals Game 4,2024,"Edmonton Oilers, Florida Panthers",20,14,131,-0.0310476928374655,0.127655,3.085,"2024 Stanley Cup Finals Game 4 Edmonton Oilers, Florida Panthers",stanley cup final game edmonton oiler florida panther
2024 Stanley Cup Finals Game 5,2024,"Edmonton Oilers, Florida Panthers",24,14,135,0.090859556321204,0.2316791666666667,4.15,"2024 Stanley Cup Finals Game 5 Edmonton Oilers, Florida Panthers",stanley cup final game edmonton oiler florida panther
2024 Stanley Cup Finals Game 6,2024,"Edmonton Oilers, Florida Panthers",16,0,16,0.1560608878968253,0.3009625,4.237,"2024 Stanley Cup Finals Game 6 Edmonton Oilers, Florida Panthers",stanley cup final game edmonton oiler florida panther
2024 Stanley Cup Finals Game 7,2024,"Edmonton Oilers, Florida Panthers",22,99,49,0.0610557682757358,0.3754454545454546,7.662,"2024 Stanley Cup Finals Game 7 Edmonton Oilers, Florida Panthers",stanley cup final game edmonton oiler florida panther
