name,brandName,comparisonPriceUnit,urlSlugText,productConcreteSku,usaSnapEligible,formattedPrice,preFormattedUnitContent,categoryName,categoryKey,mainCategoryName,mainCategoryKey,text,cluster
"Gentle Baby Lotion, 8 oz",Little Journey,oz,little-journey-gentle-baby-lotion-8-oz,4592,False,$3.59,,Baby Items,5,Baby Items,5,"Gentle Baby Lotion, 8 oz Little Journey oz little-journey-gentle-baby-lotion-8-oz $3.59 Baby Items Baby Items",3
"Apple Rice Rusks, 1.76 oz",Little Journey,oz,little-journey-apple-rice-rusks-1-76-oz,7270,True,$2.09,,Baby Items,5,Baby Items,5,"Apple Rice Rusks, 1.76 oz Little Journey oz little-journey-apple-rice-rusks-1-76-oz $2.09 Baby Items Baby Items",3
"Gentle Diaper Rash Cream, 4 oz",Little Journey,oz,little-journey-gentle-diaper-rash-cream-4-oz,7968,False,$3.59,,Baby Items,5,Baby Items,5,"Gentle Diaper Rash Cream, 4 oz Little Journey oz little-journey-gentle-diaper-rash-cream-4-oz $3.59 Baby Items Baby Items",3
"Gentle Baby Wash, 16 oz",Little Journey,oz,little-journey-gentle-baby-wash-16-oz,9323,False,$3.59,,Baby Items,5,Baby Items,5,"Gentle Baby Wash, 16 oz Little Journey oz little-journey-gentle-baby-wash-16-oz $3.59 Baby Items Baby Items",3
"Strawberry Banana Rice Rusks, 1.76 oz",Little Journey,oz,little-journey-strawberry-banana-rice-rusks-1-76-oz,9812,True,$2.09,,Baby Items,5,Baby Items,5,"Strawberry Banana Rice Rusks, 1.76 oz Little Journey oz little-journey-strawberry-banana-rice-rusks-1-76-oz $2.09 Baby Items Baby Items",3
"Gerber Blueberry Puffs, 1.48 oz",Gerber,oz,gerber-gerber-blueberry-puffs-1-48-oz,21820,True,$2.99,,Baby Items,5,Baby Items,5,"Gerber Blueberry Puffs, 1.48 oz Gerber oz gerber-gerber-blueberry-puffs-1-48-oz $2.99 Baby Items Baby Items",3
"Gerber Strawberry Apple Puffs, 1.48 oz",Gerber,oz,gerber-gerber-strawberry-apple-puffs-1-48-oz,21827,True,$2.99,,Baby Items,5,Baby Items,5,"Gerber Strawberry Apple Puffs, 1.48 oz Gerber oz gerber-gerber-strawberry-apple-puffs-1-48-oz $2.99 Baby Items Baby Items",3
"Gerber Banana Puffs, 1.48 oz",Gerber,oz,gerber-gerber-banana-puffs-1-48-oz,21829,True,$2.99,,Baby Items,5,Baby Items,5,"Gerber Banana Puffs, 1.48 oz Gerber oz gerber-gerber-banana-puffs-1-48-oz $2.99 Baby Items Baby Items",3
"Girls Training Pant 4T/5T, 19 count",Little Journey,ct,little-journey-girls-training-pant-4t-5t-19-count,36188,False,$6.79,,Baby Items,5,Baby Items,5,"Girls Training Pant 4T/5T, 19 count Little Journey ct little-journey-girls-training-pant-4t-5t-19-count $6.79 Baby Items Baby Items",3
"Girls Training Pant 3T/4T, 22 count",Little Journey,ct,little-journey-girls-training-pant-3t-4t-22-count,36191,False,$6.79,,Baby Items,5,Baby Items,5,"Girls Training Pant 3T/4T, 22 count Little Journey ct little-journey-girls-training-pant-3t-4t-22-count $6.79 Baby Items Baby Items",3
"Boy's Training Pants 3T/4T, 22 count",Little Journey,ct,little-journey-boy-s-training-pants-3t-4t-22-count,38476,False,$6.79,,Baby Items,5,Baby Items,5,"Boy's Training Pants 3T/4T, 22 count Little Journey ct little-journey-boy-s-training-pants-3t-4t-22-count $6.79 Baby Items Baby Items",3
"Boy's Training Pants 4T/5T, 19 count",Little Journey,ct,little-journey-boy-s-training-pants-4t-5t-19-count,38477,False,$6.79,,Baby Items,5,Baby Items,5,"Boy's Training Pants 4T/5T, 19 count Little Journey ct little-journey-boy-s-training-pants-4t-5t-19-count $6.79 Baby Items Baby Items",3
Pampers Swaddlers Diapers Size 5,Pampers,ct,pampers-pampers-swaddlers-diapers-size-5,45267,False,$31.05,,Baby Items,5,Baby Items,5,Pampers Swaddlers Diapers Size 5 Pampers ct pampers-pampers-swaddlers-diapers-size-5 $31.05 Baby Items Baby Items,3
"Organics Apple Sweet Potato Baby Food Puree, 4 oz",Little Journey,oz,little-journey-apple-sweet-potato-baby-food-puree-4-oz,177,True,$0.95,,Baby Food & Snacks,51,Baby Items,5,"Organics Apple Sweet Potato Baby Food Puree, 4 oz Little Journey oz little-journey-apple-sweet-potato-baby-food-puree-4-oz $0.95 Baby Food & Snacks Baby Items",3
"Apple Broccoli Pear Baby Food Puree, 4 oz",Little Journey,oz,little-journey-apple-broccoli-pear-baby-food-puree-4-oz,179,True,$0.95,,Baby Food & Snacks,51,Baby Items,5,"Apple Broccoli Pear Baby Food Puree, 4 oz Little Journey oz little-journey-apple-broccoli-pear-baby-food-puree-4-oz $0.95 Baby Food & Snacks Baby Items",3
"Organics Apple Peach Banana with Yogurt Baby Food Puree, 4 oz",Little Journey,oz,little-journey-apple-banana-peach-yogurt,244,True,$0.95,,Baby Food & Snacks,51,Baby Items,5,"Organics Apple Peach Banana with Yogurt Baby Food Puree, 4 oz Little Journey oz little-journey-apple-banana-peach-yogurt $0.95 Baby Food & Snacks Baby Items",3
"Organics Apple Mango Baby Food Puree, 4 oz",Little Journey,oz,little-journey-apple-mango-baby-food-puree,295,True,$0.95,,Baby Food & Snacks,51,Baby Items,5,"Organics Apple Mango Baby Food Puree, 4 oz Little Journey oz little-journey-apple-mango-baby-food-puree $0.95 Baby Food & Snacks Baby Items",3
"Apple Banana Raspberry Yogurt Baby Food Puree, 4 oz",Little Journey,oz,little-journey-organics-apple-banana-raspberry-yogurt-baby-food-puree-4-oz,301,True,$0.95,,Baby Food & Snacks,51,Baby Items,5,"Apple Banana Raspberry Yogurt Baby Food Puree, 4 oz Little Journey oz little-journey-organics-apple-banana-raspberry-yogurt-baby-food-puree-4-oz $0.95 Baby Food & Snacks Baby Items",3
"Organic Pear Blueberry Spinach Puree, 4 oz",Little Journey,oz,little-journey-organic-pear-blueberry-spinach-puree-4oz,434,True,$0.95,,Baby Food & Snacks,51,Baby Items,5,"Organic Pear Blueberry Spinach Puree, 4 oz Little Journey oz little-journey-organic-pear-blueberry-spinach-puree-4oz $0.95 Baby Food & Snacks Baby Items",3
"Organic Apple Pear Spinach Baby Food Puree, 4 oz",Little Journey,oz,little-journey-apple-pear-spinach-baby-food-puree,800,True,$0.95,,Baby Food & Snacks,51,Baby Items,5,"Organic Apple Pear Spinach Baby Food Puree, 4 oz Little Journey oz little-journey-apple-pear-spinach-baby-food-puree $0.95 Baby Food & Snacks Baby Items",3
"Organics Apple Banana Strawberry Yogurt Baby Food Puree, 4 oz",Little Journey,oz,little-journey-apple-banana-strawberry-yogurt-baby-food-puree-4-oz,1287,True,$0.95,,Baby Food & Snacks,51,Baby Items,5,"Organics Apple Banana Strawberry Yogurt Baby Food Puree, 4 oz Little Journey oz little-journey-apple-banana-strawberry-yogurt-baby-food-puree-4-oz $0.95 Baby Food & Snacks Baby Items",3
"Organics Apple Carrot Baby Food Puree, 4 oz",Little Journey,oz,little-journey-apple-carrot-baby-food-puree-4-oz,2034,True,$0.95,,Baby Food & Snacks,51,Baby Items,5,"Organics Apple Carrot Baby Food Puree, 4 oz Little Journey oz little-journey-apple-carrot-baby-food-puree-4-oz $0.95 Baby Food & Snacks Baby Items",3
