date,country_code,country,price,combined_text,clean_text,cluster,SVD_1,SVD_2
1964-06-30,IT,Italy,1.9537,1964-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1964-06-30,JP,Japan,14.1346,1964-06-30 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1964-06-30,NZ,New Zealand,1.9325,1964-06-30 NZ New Zealand,new zealand,0,-0.0007025996005492353,-0.0010044623280934905
1964-09-30,IT,Italy,1.9933,1964-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1964-09-30,JP,Japan,14.6154,1964-09-30 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1964-09-30,NZ,New Zealand,1.9609,1964-09-30 NZ New Zealand,new zealand,0,-0.0007025996005492353,-0.0010044623280934905
1964-12-31,IT,Italy,1.9884,1964-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1964-12-31,JP,Japan,15.1442,1964-12-31 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1964-12-31,NZ,New Zealand,2.0035,1964-12-31 NZ New Zealand,new zealand,0,-0.0007025996005492353,-0.0010044623280934905
1965-03-31,IT,Italy,1.976,1965-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1965-03-31,JP,Japan,15.6731,1965-03-31 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1965-03-31,NZ,New Zealand,2.0462,1965-03-31 NZ New Zealand,new zealand,0,-0.0007025996005492353,-0.0010044623280934905
1965-06-30,IT,Italy,1.9343,1965-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1965-06-30,JP,Japan,15.8643,1965-06-30 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1965-06-30,NZ,New Zealand,2.0888,1965-06-30 NZ New Zealand,new zealand,0,-0.0007025996005492353,-0.0010044623280934905
1965-09-30,IT,Italy,1.942,1965-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1965-09-30,JP,Japan,16.0577,1965-09-30 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1965-09-30,NZ,New Zealand,2.103,1965-09-30 NZ New Zealand,new zealand,0,-0.0007025996005492353,-0.0010044623280934905
1965-12-31,IT,Italy,1.9635,1965-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1965-12-31,JP,Japan,16.3462,1965-12-31 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1965-12-31,NZ,New Zealand,2.1314,1965-12-31 NZ New Zealand,new zealand,0,-0.0007025996005492353,-0.0010044623280934905
1966-03-31,IT,Italy,1.985,1966-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1966-03-31,JP,Japan,16.6346,1966-03-31 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1966-03-31,NZ,New Zealand,2.1456,1966-03-31 NZ New Zealand,new zealand,0,-0.0007025996005492353,-0.0010044623280934905
1966-03-31,ZA,South Africa,1.0467,1966-03-31 ZA South Africa,south africa,1,0.0005723466667372308,0.012452403183372034
1966-06-30,IT,Italy,1.9855,1966-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1966-06-30,JP,Japan,16.9693,1966-06-30 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1966-06-30,NZ,New Zealand,2.174,1966-06-30 NZ New Zealand,new zealand,0,-0.0007025996005492353,-0.0010044623280934905
1966-06-30,ZA,South Africa,1.0671,1966-06-30 ZA South Africa,south africa,1,0.0005723466667372308,0.012452403183372034
1966-09-30,IT,Italy,1.9632,1966-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1966-09-30,JP,Japan,17.3077,1966-09-30 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1966-09-30,NZ,New Zealand,2.2167,1966-09-30 NZ New Zealand,new zealand,0,-0.0007025996005492353,-0.0010044623280934905
1966-09-30,ZA,South Africa,1.0569,1966-09-30 ZA South Africa,south africa,1,0.0005723466667372308,0.012452403183372034
1966-12-31,IT,Italy,1.9505,1966-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1966-12-31,JP,Japan,17.7885,1966-12-31 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1966-12-31,NZ,New Zealand,2.2593,1966-12-31 NZ New Zealand,new zealand,0,-0.0007025996005492353,-0.0010044623280934905
1966-12-31,ZA,South Africa,1.0975,1966-12-31 ZA South Africa,south africa,1,0.0005723466667372308,0.012452403183372034
1967-03-31,IT,Italy,1.989,1967-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1967-03-31,JP,Japan,18.2692,1967-03-31 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1967-03-31,NZ,New Zealand,2.2735,1967-03-31 NZ New Zealand,new zealand,0,-0.0007025996005492353,-0.0010044623280934905
1967-03-31,ZA,South Africa,1.2195,1967-03-31 ZA South Africa,south africa,1,0.0005723466667372308,0.012452403183372034
1967-06-30,IT,Italy,1.9646,1967-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1967-06-30,JP,Japan,18.9864,1967-06-30 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1967-06-30,NZ,New Zealand,2.2877,1967-06-30 NZ New Zealand,new zealand,0,-0.0007025996005492353,-0.0010044623280934905
1967-06-30,ZA,South Africa,1.2601,1967-06-30 ZA South Africa,south africa,1,0.0005723466667372308,0.012452403183372034
