word,level,pos,definition_url,voice_url,clean_text,cluster
as far as i am concerned,b2,,https://www.oxfordlearnersdictionaries.com/definition/english/concerned#far_sng_36,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/as_/as_fa/as_far_as_i_am_concerned_1_us_1.ogg,far concerned,2
as far as sb/sth is concerned,c1,,https://www.oxfordlearnersdictionaries.com/definition/english/concerned#far_sng_36,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/as_/as_fa/as_far_as_sb_is_concerned_1_us_1.ogg,far sbsth concerned,2
as follows…,b2,,https://www.oxfordlearnersdictionaries.com/definition/english/follow#follow_sng_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/as_/as_fo/as_follows_1_us_1.ogg,follows,1
as for sb/sth,b2,,https://www.oxfordlearnersdictionaries.com/definition/english/as_3#as_sng_13,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/as_/as_fo/as_for_sb_1_us_1.ogg,sbsth,4
as if…,b1,,https://www.oxfordlearnersdictionaries.com/definition/english/as_3#as_sng_15,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/as_/as_if/as_if_1_us_1.ogg,,1
as long as…,b2,,https://www.oxfordlearnersdictionaries.com/definition/english/long_2#long_sng_33,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/as_/as_lo/as_long_as_1_us_1.ogg,long,1
as much as,b1,,https://www.oxfordlearnersdictionaries.com/definition/english/as_2#as_sng_4,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/as_/as_mu/as_much_as_1_us_1.ogg,much,1
as of…,c1,,https://www.oxfordlearnersdictionaries.com/definition/english/as_3#as_sng_14,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/as_/as_of/as_of_1_us_1.ogg,,1
as opposed to,c1,,https://www.oxfordlearnersdictionaries.com/definition/english/opposed#opposed_sng_3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/as_/as_op/as_opposed_to_1_us_1.ogg,opposed,1
as part of sth,a2,,https://www.oxfordlearnersdictionaries.com/definition/english/part_1#part_sng_3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/as_/as_pa/as_part_of_sth_1_us_1.ogg,part sth,3
as soon as,a2,,https://www.oxfordlearnersdictionaries.com/definition/english/soon#soon_sng_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/as_/as_so/as_soon_as_1_us_1.ogg,soon,1
