Company,"Know to use the ""Double Irish Arrangement""?",Discloses Likely Tax Payments from Repatriation,Citizen for Tax Justice ID,Category,Description,Turnover,Profit,Employees,Address,Profile on Irish Times,Coordinates,Image,Sources,Sources Link,Homepage,Twitter,clean_text,Cluster
Club Travel,,,,Tourism,"Club Travel is one of Ireland's longest-established travel agencies. It is headquartered in Abbey Street, and specialises in consolidated, cheap and discount airfares.It has been established for 40 years and is the single largest Travel Management Company in Ireland. Club Travel employs more than 120 people and has accumulated profits/reserves of over €30 million. It owns HRG Ireland, Travelcare, and the websites wwww.Destinations.ie, Go4less.ie and Regency Travel.","€80,000,000","€3,400,000",136,30 Lower Abbey Street  Dublin 1  Ireland,http://www.top1000.ie/club-travel,"53.348552,-6.258031",http://www.top1000.ie/images/logo/club-travel,,,http://www.clubtravel.ie/,@clubtravelie,club travel one ireland longestestablished travel agency headquartered abbey street specialises consolidated cheap discount airfaresit established year single largest travel management company ireland club travel employ people accumulated profitsreserves million owns hrg ireland travelcare website golessie regency travel,3
CMC,,,,Energy,"CMC distributes and markets coal products which is mined at Cerrejón, Colombia. It has an office in Dublin where it employs 29 people. Europe is the largest single market for CMC and it also sells to central and south america, the US and Asia. It is owned in equal parts by Anglo American plc, BHP Billiton plc and Xstata plc.","€2,000,000,000","€61,400,000",31,Fumbally Square  New Street  Dublin 8  Ireland,http://www.top1000.ie/cmc,"53.336981,-6.273817",,,,http://www.cmc-coal.ie/,,cmc distributes market coal product mined cerrejn colombia office dublin employ people europe largest single market cmc also sell central south america asia owned equal part anglo american plc bhp billiton plc xstata plc,1
CMS Distribution,,,,Consumer Technology,"Storit Ltd is the holding company for CMS Distribution. Founded by Frank Salmon, the company is a specialist in data storage solutions. It has operations in Ireland and the UK and in September 2011 acquired UK company, CCI Distribution. Founded in 1988, it focuses on storage and consumer electronics.","€133,500,000","€2,300,000",188,Bohola Road  Kiltimagh  Co Mayo,http://www.top1000.ie/cms-distribution,"53.866054,-9.008124",http://www.top1000.ie/images/logo/cms-distribution,,,http://www.cmsperipherals.com/,@CMSDistribution,storit ltd holding company cm distribution founded frank salmon company specialist data storage solution operation ireland september acquired company cci distribution founded focus storage consumer electronics,0
CMS Peripherals,,,,Technology,"CMS Peripherals Limited, subsidiary of the StorIT Group was established in 1988 and has since grown to be the foremost Information Storage and Digital Consumer product distributor in the UK and Ireland.The company turns over in excess of €140 million a year, represents over 40 key manufacturers and offers 3000 plus products.","€129,400,000","€1,000,000",45,Bohola Road  Kiltimagh  Co Mayo,http://www.top1000.ie/cms-peripherals,"53.866054,-9.008124",,,,http://www.cmsperipherals.com/,,cm peripheral limited subsidiary storit group established since grown foremost information storage digital consumer product distributor irelandthe company turn excess million year represents key manufacturer offer plus product,1
Coca Cola Bottlers,,No,,Health,"Coca-Cola HBC Northern Ireland is a franchised bottler of The Coca-Cola Company.Based in Lisburn, Co. Antrim, the company operates a bottling plant as well as warehouses and distribution centres. Since 2007, the Knockmore Hill plant in Lisburn, Co. Antrim is responsible for the bottling and distribution of all Coca-Cola products for the island of Ireland.The company produces, sells and distributes a range of non-alcoholic beverages which are mostly trademark products of The Coca-Cola Company. The product portfolio includes Coca- Cola, diet Coke (Coca-Cola light), Fanta and Sprite. Local brands include Deep RiverRock and Fruice while other licensed brands include Nestea and Vittel. The company also produces energy drinks including Powerade and BPM.","€245,100,000","€3,700,000",665,Lissue Road  Lisburn  BT28 2SZ,http://www.top1000.ie/coca-cola-bottlers,"54.509704,-6.104269",,Citizen For Tax Justice 2013,http://ctj.org/pdf/applenotalone.pdf,http://www.coca-colabottlers.com/,,cocacola hbc northern ireland franchised bottler cocacola companybased lisburn antrim company operates bottling plant well warehouse distribution centre since knockmore hill plant lisburn antrim responsible bottling distribution cocacola product island irelandthe company produce sell distributes range nonalcoholic beverage mostly trademark product cocacola company product portfolio includes coca cola diet coke cocacola light fanta sprite local brand include deep riverrock fruice licensed brand include nestea vittel company also produce energy drink including powerade bpm,1
Coca Cola Bottling,,No,,Food,"Coca Cola HBC Ireland Limited is owned by Coca Cola Hellenic Bottling Company which is one of a small number of bottlers in the world who have a franchise from Coca Cola to bottle and distribute coca cola. It has operations in Republic of Ireland and Northern IReland, with all its bottling now done in Northern Ireland. It bottles and distributes a number of brands, most of which are trademark products of The Coca-Cola Company.These include Coca-Cola, diet Coke (Coca-Cola light), Fanta and Sprite, Deep RiverRock, Fruice and Piacetto and brands licensed by other companies, such as Nestea and Vittel.","€167,800,000","-€3,400,000",382,Huntstown Business Park  Cappagh Road  Ballycoolin  Dublin 15,http://www.top1000.ie/coca-cola-bottling,"53.40347,-6.338802",,Citizen For Tax Justice 2013,http://ctj.org/pdf/applenotalone.pdf,http://www.coca-colahellenicireland.com/,,coca cola hbc ireland limited owned coca cola hellenic bottling company one small number bottler world franchise coca cola bottle distribute coca cola operation republic ireland northern ireland bottling done northern ireland bottle distributes number brand trademark product cocacola companythese include cocacola diet coke cocacola light fanta sprite deep riverrock fruice piacetto brand licensed company nestea vittel,1
Coffey Construction Ireland,,,,Construction,"Coffey Construction Ireland Limited is the Irish operations of the Coffey Group, a Galway-based, family-owned construction business which also has operations in the UK. The Coffey Group expanded into the UK in 1988, and has an office in London.","€26,200,000","€2,400,000",183,Coffey Group  Athenry  Co. Galway,http://www.top1000.ie/coffey-construction-ireland,"53.299993,-8.746358",http://www.top1000.ie/images/logo/coffey-construction-ireland,,,http://www.coffeygroup.com/,@CoffeyGroup,coffey construction ireland limited irish operation coffey group galwaybased familyowned construction business also operation coffey group expanded office london,3
Cognex,,,,Technology,"Cognex Corporation is a global provider of vision systems and industrial ID readers. It serves an international customer base from offices located throughout North America, Europe, Japan, Asia and Latin America, and through a global network of integration and distribution partners. The company is headquartered close to Boston, and is publicly traded on the Nasdaq stock market. Its Irish operation is based in Cork.","€17,100,000","€11,000,000",67,Gateway Business Park 2008-2014  Block 2000  Mallow Road  Cork,http://www.top1000.ie/cognex,"51.926163,-8.487221",http://www.top1000.ie/images/logo/cognex,,,http://www.cognex.com/,@Cognex_Corp,cognex corporation global provider vision system industrial reader serf international customer base office located throughout north america europe japan asia latin america global network integration distribution partner company headquartered close boston publicly traded nasdaq stock market irish operation based cork,0
Coillte,,,,Resources,"Coillte is a commercial State company operating in forestry, land based businesses, renewable energy and panel products. It owns about 7 per cent of the land cover of Ireland and employs more than 1000 people.","€275,700,000","€28,700,000",913,Newtownmountkennedy  Co Wicklow,http://www.top1000.ie/coillte,"53.097437,-6.110144",http://www.top1000.ie/images/logo/coillte,,,http://www.coillte.ie/,@coilltenews,coillte commercial state company operating forestry land based business renewable energy panel product owns per cent land cover ireland employ people,1
Collen Construction,,,,Construction,Collen Construction is a family-owned construction business established in 1810. It employs about 70 people and its Dublin office is based on the East Wall Road.,"€95,400,000","€1,400,000",84,Collen Construction Ltd  Riverhouse  East Wall Road  Dublin 3,http://www.top1000.ie/collen-construction,"53.356421,-6.231713",,,,http://www.collen.com/,,collen construction familyowned construction business established employ people dublin office based east wall road,3
