player,tournament id,Player_initial_last,player id,DK_Hole_FP,DK_Streak_Bonus_FP,FD_Hole_FP,FD_Streak_Bonus_FP,tournament name,season,final position,DK_Finish_FP,FD_Finish_FP,DK_Total_FP,FD_Total_FP,major,made_cut,course,date,Finish,Score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,place,Cluster
Aaron Wise,3763,A. Wise,10577,73.5,3,65.6,22.4,Sanderson Farms Championship,2018,25.0,4,3,80.5,91.0,0,1,"Country Club of Jackson - Jackson, MS",2017-10-29,T25,-5,-0.28,0.07,1.33,0.04,1.44,1.16,25,0
Aaron Wise,3768,A. Wise,10577,61.5,0,54.5,21.4,Shriners Hospital for Children Open,2018,32.0,2,1,63.5,76.9,0,1,"TPC Summerlin - Las Vegas, NV",2017-11-05,T32,-2,1.11,-0.19,-0.33,0.38,-0.14,0.97,32,0
Aaron Wise,3771,A. Wise,10577,48.0,3,40.1,15.9,Valspar Championship,2018,68.0,0,0,51.0,56.0,0,1,"Innisbrook - Palm Harbor, FL",2018-03-11,T68,5,0.84,0.16,-1.35,-0.19,-1.37,-0.54,68,0
Aaron Wise,3776,A. Wise,10577,33.0,0,27.6,9.6,OHL Classic at Mayakoba,2018,,0,0,33.0,37.2,0,0,"El Camaleon - Playa del Carmen, Mexico",2017-11-12,,,,,,,,,-,0
Aaron Wise,3777,A. Wise,10577,22.0,0,19.4,0.0,Safeway Open,2018,,0,0,22.0,19.4,0,0,"Silverado - Napa, CA",2017-10-08,CUT,2,0.71,-0.26,-2.05,0.1,-2.21,-1.5,-,0
Aaron Wise,3781,A. Wise,10577,81.0,11,78.2,35.3,The RSM Classic,2018,13.0,6,5,98.0,118.5,0,1,"Sea Island - Sea Island, GA",2017-11-19,T13,-12,1.11,-0.22,0.49,0.47,0.74,1.85,13,0
Aaron Wise,401025247,A. Wise,10577,25.0,3,16.8,15.8,Valero Texas Open,2018,,0,0,28.0,32.6,0,0,"TPC San Antonio - San Antonio, TX",2018-04-22,CUT,7,0.01,-1.92,-0.88,0.08,-2.72,-2.71,-,0
Aaron Wise,401025249,A. Wise,10577,74.5,0,71.9,19.8,Wells Fargo Championship,2018,2.0,20,20,94.5,111.7,0,1,"Quail Hollow - Charlotte, NC",2018-05-06,T2,-10,1.06,1.12,0.33,0.91,2.36,3.42,2,0
Aaron Wise,401025251,A. Wise,10577,102.0,14,101.5,25.8,AT&T Byron Nelson,2018,1.0,30,30,146.0,157.3,0,1,"Trinity Forest - Dallas, TX",2018-05-20,1,-23,1.39,0.15,1.5,1.15,2.79,4.18,1,0
Aaron Wise,401025251,A. Wise,10577,102.0,14,101.5,25.8,AT&T Byron Nelson,2018,1.0,30,30,146.0,157.3,0,1,"Trinity Forest - Dallas, TX",2018-05-20,1,-23,1.39,0.15,1.5,1.15,2.79,4.18,1,0
