Date,Close,High,Low,Open,Volume
3/5/2015,37.44340897,37.57537942,37.21546138,37.30344169,5848400
3/6/2015,36.87953949,37.47140199,36.7435691,37.31144113,6814400
3/9/2015,37.20746231,37.24345259,36.82754766,36.94752135,5984800
3/10/2015,36.86352539,37.15545962,36.69956162,36.85552857,6077000
3/11/2015,36.55960083,37.18345959,36.47962042,36.83953835,8185800
3/12/2015,37.34342194,37.40340877,36.72756302,36.77955303,7295400
3/13/2015,37.30743027,37.73933179,37.06348606,37.06348606,5835200
3/16/2015,37.61136246,37.83930998,37.48738886,37.59136583,6772600
3/17/2015,37.74733353,37.78332685,37.43140569,37.49539247,5508800
3/18/2015,38.3272171,38.61915156,37.33144611,37.59138716,15430000
3/19/2015,39.09502792,39.67089368,38.54315263,38.69511971,22020600
3/20/2015,38.97505188,39.55092065,38.79509441,39.38695683,17360600
3/23/2015,38.93906403,39.15101489,38.67512314,39.14301502,7986000
3/24/2015,39.1590004,39.32296418,38.69510859,38.83507581,7718400
3/25/2015,38.29920578,39.38295965,38.29920578,39.24698928,9907200
3/26/2015,38.02326202,38.29119971,37.45539327,38.13123587,10344400
3/27/2015,38.01926804,38.37118611,37.89129755,37.99127459,7993400
3/30/2015,38.38319397,38.59114491,38.19123667,38.40718749,6830200
3/31/2015,37.87131882,38.47118133,37.86732193,38.2592304,8717800
4/1/2015,37.19946289,37.79132842,37.01550547,37.70334812,14125400
4/2/2015,37.74733353,37.84731057,37.27944168,37.3594221,8863000
4/6/2015,37.79932404,37.9113009,37.37142236,37.53138626,6058800
4/7/2015,37.61936188,37.97527991,37.57537173,37.75533224,5354600
4/8/2015,38.08327103,38.10326461,37.52739565,37.52739565,6827800
4/9/2015,38.35919189,38.38318846,37.79132301,38.11125078,7109600
4/10/2015,38.52715683,38.87107815,38.29521238,38.87107815,6643100
4/13/2015,38.79109573,39.10302364,38.69511862,38.83908582,8171000
4/14/2015,38.63113785,38.9590625,38.36719998,38.80709846,5952400
4/15/2015,38.50315475,39.03903324,38.49515793,39.03903324,5162200
4/16/2015,38.59112167,38.77507899,38.51913811,38.57512499,5312500
4/17/2015,38.08725739,38.39118848,37.90329997,38.31120806,7539900
4/20/2015,38.36719513,38.48716576,38.15124433,38.31120822,4868400
4/21/2015,38.68712234,38.77510265,38.4071878,38.67112565,6213400
4/22/2015,38.66312408,38.871075,38.3751897,38.79109458,7248100
4/23/2015,39.53492737,39.75087818,38.61513723,38.83108804,15866100
4/24/2015,41.46248245,41.66243655,40.48670546,41.04657756,22284900
4/27/2015,40.6866684,41.54247189,40.59868808,41.43849793,11222600
4/28/2015,40.47871017,40.6306742,39.97482497,40.4707103,8882900
4/29/2015,40.51070786,40.7506522,40.15078981,40.32674737,7162000
4/30/2015,39.65489197,40.53468864,39.53491831,40.49469844,8492000
5/1/2015,40.22276306,40.32673699,39.73487462,39.95082539,5916500
5/4/2015,40.35074234,40.73465389,40.20677513,40.23076865,7493400
5/5/2015,39.64466858,40.15817928,39.60455113,40.06991906,10691200
5/6/2015,39.25952911,39.87734753,38.97067863,39.86129994,8033500
5/7/2015,39.59650803,39.75698081,39.09102288,39.10707046,5681400
5/8/2015,39.94153214,40.46306804,39.68477684,40.11003028,6039800
5/11/2015,39.71686935,40.29457025,39.62058689,39.88536443,5047200
5/12/2015,39.88536835,40.11003153,39.31569272,39.4360481,5868600
5/13/2015,39.78908539,40.23840869,39.66070774,39.99769792,4927100
5/14/2015,40.56737137,40.59144122,39.85326754,40.10200054,7339700
5/15/2015,40.75993729,40.80005472,40.43096941,40.75191502,6016700
5/18/2015,41.06484604,41.15310626,40.56738296,40.63959559,8999800
5/19/2015,41.25740814,41.49811893,40.88832275,41.30555091,6976100
5/20/2015,40.94447327,41.27344109,40.46305798,41.16913639,5644700
5/21/2015,41.18520355,41.28148604,40.74390243,40.8722801,5084000
5/22/2015,41.30554581,41.44194877,41.08890796,41.18519349,5857700
5/26/2015,40.79204941,41.54626794,40.64762413,41.22532525,7369900
5/27/2015,41.39380264,41.48206284,40.84819694,40.95250472,6213600
5/28/2015,41.57031631,41.67462102,41.28146592,41.59438616,5874400
5/29/2015,41.69067764,41.90731548,41.28147487,41.68265538,9399100
6/1/2015,41.89930344,42.09186841,41.45800232,41.69068781,7075100
6/2/2015,41.50613403,41.96347956,41.44996901,41.70672428,7877800
6/3/2015,41.81905746,41.93941285,41.45799438,41.72277499,5522700
6/4/2015,41.49812698,41.86721244,41.37777157,41.61847934,6230800
6/5/2015,41.87522888,42.07581918,41.13705807,41.37776581,7123200
6/8/2015,41.34564972,41.90730287,41.31355761,41.72276026,6320200
6/9/2015,41.35369492,41.48207258,41.00065405,41.20124434,5034000
6/10/2015,42.27640152,42.41280449,41.44997064,41.56230069,8003600
6/11/2015,42.11592865,42.5251314,42.07580815,42.37268392,6030200
6/12/2015,42.22826385,42.31652406,41.85115317,42.05174344,5236700
6/15/2015,41.93940735,42.09185483,41.73079179,41.90731218,5555000
6/16/2015,42.5010643,42.63746421,41.88324595,41.93941097,6106500
6/17/2015,42.71769714,42.90223979,42.30046909,42.59734178,6735300
6/18/2015,43.41576004,43.55215996,42.84608439,42.92631927,10711000
6/19/2015,43.27134323,43.68054613,43.19913059,43.39169865,10609700
6/22/2015,43.24726105,43.67251142,43.23121346,43.59227654,7100700
6/23/2015,43.42377472,43.47191748,43.10283217,43.35958743,5679000
6/24/2015,43.09482193,43.30343757,42.94237439,43.12691711,5525000
6/25/2015,43.38367462,43.68857277,43.32750958,43.39972221,5389900
6/26/2015,43.8249588,43.92926659,43.56820352,43.69658116,6637200
6/29/2015,42.96643066,43.64041402,42.93433549,43.22318594,6534100
6/30/2015,43.02260208,43.56820788,42.63746911,43.44785555,9794000
7/1/2015,43.23923874,43.49599404,43.00655329,43.21516889,6107700
7/2/2015,43.52006912,43.88915451,43.28738366,43.35157096,5684700
7/6/2015,43.57623672,43.65647162,43.03063088,43.03865314,5396400
7/7/2015,43.63238144,43.76075905,42.81397305,43.56016884,9462300
7/8/2015,42.83806229,43.34355068,42.77387498,43.21517301,8139300
7/9/2015,43.36761475,43.72867784,43.23121483,43.38366233,7681000
7/10/2015,43.78484344,43.91322109,43.47192312,43.76077359,8087800
7/13/2015,44.69151688,44.84396439,44.04962857,44.12986346,7477200
7/14/2015,44.73163223,44.98036528,44.54708954,44.90012733,7028000
7/15/2015,44.40266037,44.8921011,44.36254293,44.86802818,8212600
7/16/2015,44.72360229,45.06059244,44.65941195,44.98035756,7305500
