Name,Teams,Start Datetime,Average Viewers (Millions)
2021 Stanley Cup Finals Game 1,"Tampa Bay Lightning, Montreal Canadiens",2021-06-28T20:00:00-04:00,2.405
2021 Stanley Cup Finals Game 2,"Tampa Bay Lightning, Montreal Canadiens",2021-06-30T20:00:00-04:00,1.569
2021 Stanley Cup Finals Game 3,"Tampa Bay Lightning, Montreal Canadiens",2021-07-02T20:00:00-04:00,1.649
2021 Stanley Cup Finals Game 4,"Tampa Bay Lightning, Montreal Canadiens",2021-07-05T20:00:00-04:00,2.378
2021 Stanley Cup Finals Game 5,"Tampa Bay Lightning, Montreal Canadiens",2021-07-07T20:00:00-04:00,2.92
2022 Stanley Cup Finals Game 1,"Tampa Bay Lightning, Colorado Avalanche",2022-06-15T20:00:00-04:00,4.2
2022 Stanley Cup Finals Game 2,"Tampa Bay Lightning, Colorado Avalanche",2022-06-18T20:00:00-04:00,3.747
2022 Stanley Cup Finals Game 3,"Tampa Bay Lightning, Colorado Avalanche",2022-06-20T20:00:00-04:00,4.103
2022 Stanley Cup Finals Game 4,"Tampa Bay Lightning, Colorado Avalanche",2022-06-22T20:00:00-04:00,4.599
2022 Stanley Cup Finals Game 5,"Tampa Bay Lightning, Colorado Avalanche",2022-06-24T20:00:00-04:00,5.145
2022 Stanley Cup Finals Game 6,"Tampa Bay Lightning, Colorado Avalanche",2022-06-26T20:00:00-04:00,5.817
2023 Stanley Cup Finals Game 1,"Florida Panthers, Vegas Golden Knights",2023-06-03T20:00:00-04:00,2.753
2023 Stanley Cup Finals Game 2,"Florida Panthers, Vegas Golden Knights",2023-06-05T20:00:00-04:00,2.445
2023 Stanley Cup Finals Game 3,"Florida Panthers, Vegas Golden Knights",2023-06-07T20:00:00-04:00,2.688
2023 Stanley Cup Finals Game 4,"Florida Panthers, Vegas Golden Knights",2023-06-09T20:00:00-04:00,2.562
2023 Stanley Cup Finals Game 5,"Florida Panthers, Vegas Golden Knights",2023-06-11T20:00:00-04:00,2.721
2024 Stanley Cup Finals Game 1,"Edmonton Oilers, Florida Panthers",2024-06-03T20:00:00-04:00,3.115
2024 Stanley Cup Finals Game 2,"Edmonton Oilers, Florida Panthers",2024-06-05T20:00:00-04:00,3.558
2024 Stanley Cup Finals Game 3,"Edmonton Oilers, Florida Panthers",2024-06-07T20:00:00-04:00,3.352
2024 Stanley Cup Finals Game 4,"Edmonton Oilers, Florida Panthers",2024-06-09T20:00:00-04:00,3.085
2024 Stanley Cup Finals Game 5,"Edmonton Oilers, Florida Panthers",2024-06-11T20:00:00-04:00,4.15
2024 Stanley Cup Finals Game 6,"Edmonton Oilers, Florida Panthers",2024-06-13T20:00:00-04:00,4.237
2024 Stanley Cup Finals Game 7,"Edmonton Oilers, Florida Panthers",2024-06-15T20:00:00-04:00,7.662
