symbol,name,sector,price,price/earnings,dividend_yield,earnings/share,52_week_low,52_week_high,market_cap,ebitda,price/sales,price/book,sec_filings,combined_text,cluster
CCL,Carnival,"Hotels, Resorts & Cruise Lines",23.51,10.59009,0.0191,2.22,23.08,34.03,32200452096.0,7302000128.0,1.1790287,2.4873044,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCL,"CCL Carnival Hotels, Resorts & Cruise Lines http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCL",1
CARR,Carrier Global,Building Products,59.71,42.65,0.0161,1.4,50.24,76.76,49593954304.0,3092999936.0,2.2432582,3.7470975,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CARR,CARR Carrier Global Building Products http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CARR,1
CTLT,Catalent,Pharmaceuticals,140.86,23.8595715,0.0187,5.68,104.475,169.3,40598407168.0,3452700032.0,3.19939425,3.1623663,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTLT,CTLT Catalent Pharmaceuticals http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTLT,1
CAT,Caterpillar Inc.,Construction Machinery & Heavy Transportation Equipment,813.94,35.08362,0.008,23.2,416.44,1073.46,374147776512.0,16250999808.0,5.006728,19.290876,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAT,CAT Caterpillar Inc. Construction Machinery & Heavy Transportation Equipment http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAT,0
CBOE,Cboe Global Markets,Financial Exchanges & Data,298.38,23.256432,0.0115,12.83,227.15,371.18,31160127488.0,1930700032.0,6.156546,5.5453753,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBOE,CBOE Cboe Global Markets Financial Exchanges & Data http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBOE,1
CBRE,CBRE Group,Real Estate Services,147.85,33.755707,0.0187,4.38,121.69,174.27,42813710336.0,2214000128.0,0.9794722,5.102851,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBRE,CBRE CBRE Group Real Estate Services http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBRE,1
CDW,CDW,Technology Distributors,152.38,18.314905,0.0165,8.32,97.12,171.55,19050156032.0,2010899968.0,0.8106311,7.818369,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CDW,CDW CDW Technology Distributors http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CDW,1
CE,Celanese,Specialty Chemicals,44.67,23.8595715,0.0027,-10.59,35.13,70.7,4902484480.0,1676999936.0,0.5047863,1.176486,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CE,CE Celanese Specialty Chemicals http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CE,1
COR,Cencora,Health Care Distributors,330.95,24.569414,0.0073,13.47,244.82,377.54,63154253824.0,5546476032.0,0.18978274,20.699902,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COR,COR Cencora Health Care Distributors http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COR,1
CNC,Centene Corporation,Managed Health Care,67.04,23.8595715,0.0187,-10.36,28.33,69.36,33117425664.0,4606000128.0,0.18367548,1.4678257,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNC,CNC Centene Corporation Managed Health Care http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNC,1
CNP,CenterPoint Energy,Multi-Utilities,39.67,23.613094,0.0242,1.68,37.13,45.26,26131431424.0,3854000128.0,2.716365,2.2295284,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNP,CNP CenterPoint Energy Multi-Utilities http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNP,1
CF,CF Industries,Fertilizers & Agricultural Chemicals,133.35,9.892434,0.018,13.48,75.42,141.96,20180940800.0,3872999936.0,2.6076937,3.5168924,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CF,CF CF Industries Fertilizers & Agricultural Chemicals http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CF,1
CRL,Charles River Laboratories,Life Sciences Tools & Services,288.5,23.8595715,0.0187,-4.82,144.26,303.31,13772664832.0,849118016.0,3.4440384,4.849066,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CRL,CRL Charles River Laboratories Life Sciences Tools & Services http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CRL,1
SCHW,Charles Schwab Corporation,Investment Banking & Brokerage,109.29,19.907104,0.0117,5.49,83.96,114.53,188999090176.0,3452700032.0,7.2622128,4.2988634,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SCHW,SCHW Charles Schwab Corporation Investment Banking & Brokerage http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SCHW,1
CHTR,Charter Communications,Cable & Satellite,151.99,3.9560127,0.0187,38.42,111.55,285.82,20484831232.0,21814999040.0,0.3765871,1.0694333,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHTR,CHTR Charter Communications Cable & Satellite http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHTR,1
CVX,Chevron Corporation,Integrated Oil & Gas,208.6,20.076998,0.0341,10.39,146.49,214.71,409190465536.0,50661998592.0,1.9542586,2.1549587,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVX,CVX Chevron Corporation Integrated Oil & Gas http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVX,1
CMG,Chipotle Mexican Grill,Restaurants,36.96,34.22222,0.0187,1.08,28.04,42.82,46769848320.0,2275020032.0,3.764549,21.302593,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMG,CMG Chipotle Mexican Grill Restaurants http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMG,1
CB,Chubb Limited,Property & Casualty Insurance,341.59,12.104536,0.0119,28.22,265.3,365.91,131785375744.0,14883000320.0,2.129142,1.7477105,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CB,CB Chubb Limited Property & Casualty Insurance http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CB,1
CHD,Church & Dwight,Household Products,98.55,31.58654,0.0125,3.12,81.33,106.04,23376445440.0,1354800000.0,3.7527804,5.374966,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHD,CHD Church & Dwight Household Products http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHD,1
CI,Cigna,Health Care Services,282.52,11.684036,0.0221,24.18,239.51,315.47,74653220864.0,12757999616.0,0.2643696,1.7480185,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CI,CI Cigna Health Care Services http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CI,1
CINF,Cincinnati Financial,Property & Casualty Insurance,171.1,8.078376,0.022,21.18,150.0,194.81,26260094976.0,4365000192.0,1.8819045,1.5743902,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CINF,CINF Cincinnati Financial Property & Casualty Insurance http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CINF,1
CTAS,Cintas,Diversified Support Services,200.47,40.828922,0.0104,4.91,161.16,219.17,80221995008.0,2994993920.0,7.1215,15.606851,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTAS,CTAS Cintas Diversified Support Services http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTAS,1
CSCO,Cisco,Communications Equipment,109.2,32.792793,0.0154,3.33,66.13,130.37,430530461696.0,18641999872.0,6.798744,8.56941,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSCO,CSCO Cisco Communications Equipment http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSCO,1
C,Citigroup,Diversified Banks,137.72,14.840518,0.0195,9.28,93.66,147.96,231016595456.0,3452700032.0,2.8272054,1.2002999,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=C,C Citigroup Diversified Banks http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=C,1
CFG,Citizens Financial Group,Regional Banks,70.78,15.420479,0.026,4.59,47.955,75.33,29810892800.0,3452700032.0,3.652848,1.2428228,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CFG,CFG Citizens Financial Group Regional Banks http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CFG,1
CLX,Clorox,Household Products,93.06,19.347193,0.0537,4.81,84.7,128.9,11253838848.0,1140000000.0,1.6746784,125.08064,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CLX,CLX Clorox Household Products http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CLX,1
CME,CME Group,Financial Exchanges & Data,281.29,23.858355,0.0185,11.79,218.31,329.16,101146050560.0,4771100160.0,14.968634,3.8106914,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CME,CME CME Group Financial Exchanges & Data http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CME,0
CMS,CMS Energy,Multi-Utilities,68.46,20.55856,0.0333,3.33,67.19,80.36,21148637184.0,3017999872.0,2.3997092,2.2480545,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMS,CMS CMS Energy Multi-Utilities http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMS,1
