ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,text,clean_text,Cluster
111075,Jagjit Singh Kular,M,20.0,170.0,58.0,India,IND,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Gold,Jagjit Singh Kular M India IND 1964 Summer Summer Tokyo Hockey Hockey Men's Hockey Gold,jagjit singh kular india ind summer summer tokyo hockey hockey mens hockey gold,2
111075,Jagjit Singh Kular,M,24.0,170.0,58.0,India,IND,1968 Summer,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,Bronze,Jagjit Singh Kular M India IND 1968 Summer Summer Mexico City Hockey Hockey Men's Hockey Bronze,jagjit singh kular india ind summer summer mexico city hockey hockey mens hockey bronze,2
111076,Jagmal Singh Ragho,M,37.0,173.0,53.0,India,IND,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Marathon,,Jagmal Singh Ragho M India IND 1960 Summer Summer Roma Athletics Athletics Men's Marathon ,jagmal singh ragho india ind summer summer roma athletics athletics mens marathon,1
111077,Jagmander Balyan Singh,M,24.0,165.0,68.0,India,IND,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Lightweight, Freestyle",,"Jagmander Balyan Singh M India IND 1980 Summer Summer Moskva Wrestling Wrestling Men's Lightweight, Freestyle ",jagmander balyan singh india ind summer summer moskva wrestling wrestling mens lightweight freestyle,0
111077,Jagmander Balyan Singh,M,28.0,165.0,68.0,India,IND,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Lightweight, Freestyle",,"Jagmander Balyan Singh M India IND 1984 Summer Summer Los Angeles Wrestling Wrestling Men's Lightweight, Freestyle ",jagmander balyan singh india ind summer summer los angeles wrestling wrestling mens lightweight freestyle,0
111078,Jagmohan Nat Singh,M,28.0,183.0,71.0,India,IND,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 110 metres Hurdles,,Jagmohan Nat Singh M India IND 1960 Summer Summer Roma Athletics Athletics Men's 110 metres Hurdles ,jagmohan nat singh india ind summer summer roma athletics athletics mens metres hurdles,1
111080,Jagrup Singh,M,29.0,171.0,68.0,India,IND,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Lightweight, Freestyle",,"Jagrup Singh M India IND 1972 Summer Summer Munich Wrestling Wrestling Men's Lightweight, Freestyle ",jagrup singh india ind summer summer munich wrestling wrestling mens lightweight freestyle,0
111081,Jaipal Singh Munda,M,25.0,,,India,IND,1928 Summer,1928,Summer,Amsterdam,Hockey,Hockey Men's Hockey,Gold,Jaipal Singh Munda M India IND 1928 Summer Summer Amsterdam Hockey Hockey Men's Hockey Gold,jaipal singh munda india ind summer summer amsterdam hockey hockey mens hockey gold,2
111083,Jaswant Singh,M,29.0,185.0,77.0,India,IND,1960 Summer,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Silver,Jaswant Singh M India IND 1960 Summer Summer Roma Hockey Hockey Men's Hockey Silver,jaswant singh india ind summer summer roma hockey hockey mens hockey silver,2
111085,Jit Singh,M,27.0,175.0,87.0,India,IND,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Middleweight, Freestyle",,"Jit Singh M India IND 1964 Summer Summer Tokyo Wrestling Wrestling Men's Middleweight, Freestyle ",jit singh india ind summer summer tokyo wrestling wrestling mens middleweight freestyle,0
111086,Jorawar Singh,M,29.0,180.0,68.0,India,IND,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Men's Basketball,,Jorawar Singh M India IND 1980 Summer Summer Moskva Basketball Basketball Men's Basketball ,jorawar singh india ind summer summer moskva basketball basketball mens basketball,0
111087,Jugraj Singh Mann,M,,180.0,98.0,India,IND,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Shot Put,,Jugraj Singh Mann M India IND 1972 Summer Summer Munich Athletics Athletics Men's Shot Put ,jugraj singh mann india ind summer summer munich athletics athletics mens shot put,1
111088,Kaliq Singh,M,33.0,188.0,91.0,India,IND,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Heavyweight,,Kaliq Singh M India IND 1984 Summer Summer Los Angeles Boxing Boxing Men's Heavyweight ,kaliq singh india ind summer summer los angeles boxing boxing mens heavyweight,0
111089,Karni Singh Bahadur,M,36.0,174.0,99.0,India,IND,1960 Summer,1960,Summer,Roma,Shooting,Shooting Men's Trap,,Karni Singh Bahadur M India IND 1960 Summer Summer Roma Shooting Shooting Men's Trap ,karni singh bahadur india ind summer summer roma shooting shooting mens trap,0
111089,Karni Singh Bahadur,M,40.0,174.0,99.0,India,IND,1964 Summer,1964,Summer,Tokyo,Shooting,Shooting Men's Trap,,Karni Singh Bahadur M India IND 1964 Summer Summer Tokyo Shooting Shooting Men's Trap ,karni singh bahadur india ind summer summer tokyo shooting shooting mens trap,0
111089,Karni Singh Bahadur,M,44.0,174.0,99.0,India,IND,1968 Summer,1968,Summer,Mexico City,Shooting,Shooting Mixed Trap,,Karni Singh Bahadur M India IND 1968 Summer Summer Mexico City Shooting Shooting Mixed Trap ,karni singh bahadur india ind summer summer mexico city shooting shooting mixed trap,0
111089,Karni Singh Bahadur,M,44.0,174.0,99.0,India,IND,1968 Summer,1968,Summer,Mexico City,Shooting,Shooting Mixed Skeet,,Karni Singh Bahadur M India IND 1968 Summer Summer Mexico City Shooting Shooting Mixed Skeet ,karni singh bahadur india ind summer summer mexico city shooting shooting mixed skeet,0
111089,Karni Singh Bahadur,M,48.0,174.0,99.0,India,IND,1972 Summer,1972,Summer,Munich,Shooting,Shooting Mixed Trap,,Karni Singh Bahadur M India IND 1972 Summer Summer Munich Shooting Shooting Mixed Trap ,karni singh bahadur india ind summer summer munich shooting shooting mixed trap,0
111089,Karni Singh Bahadur,M,48.0,174.0,99.0,India,IND,1972 Summer,1972,Summer,Munich,Shooting,Shooting Mixed Skeet,,Karni Singh Bahadur M India IND 1972 Summer Summer Munich Shooting Shooting Mixed Skeet ,karni singh bahadur india ind summer summer munich shooting shooting mixed skeet,0
111089,Karni Singh Bahadur,M,56.0,174.0,99.0,India,IND,1980 Summer,1980,Summer,Moskva,Shooting,Shooting Mixed Trap,,Karni Singh Bahadur M India IND 1980 Summer Summer Moskva Shooting Shooting Mixed Trap ,karni singh bahadur india ind summer summer moskva shooting shooting mixed trap,0
111090,Kothajit Singh Khadangbam,M,23.0,170.0,63.0,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,,Kothajit Singh Khadangbam M India IND 2016 Summer Summer Rio de Janeiro Hockey Hockey Men's Hockey ,kothajit singh khadangbam india ind summer summer rio de janeiro hockey hockey mens hockey,2
111091,Kuldeep Singh,M,22.0,162.0,52.0,India,IND,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Flyweight, Freestyle",,"Kuldeep Singh M India IND 1988 Summer Summer Seoul Wrestling Wrestling Men's Flyweight, Freestyle ",kuldeep singh india ind summer summer seoul wrestling wrestling mens flyweight freestyle,0
111092,Kulwant Singh,M,23.0,172.0,70.0,India,IND,1972 Summer,1972,Summer,Munich,Hockey,Hockey Men's Hockey,Bronze,Kulwant Singh M India IND 1972 Summer Summer Munich Hockey Hockey Men's Hockey Bronze,kulwant singh india ind summer summer munich hockey hockey mens hockey bronze,2
111093,Kunwar Digvijay Singh,M,26.0,,,India,IND,1948 Summer,1948,Summer,London,Hockey,Hockey Men's Hockey,Gold,Kunwar Digvijay Singh M India IND 1948 Summer Summer London Hockey Hockey Men's Hockey Gold,kunwar digvijay singh india ind summer summer london hockey hockey mens hockey gold,2
111093,Kunwar Digvijay Singh,M,30.0,,,India,IND,1952 Summer,1952,Summer,Helsinki,Hockey,Hockey Men's Hockey,Gold,Kunwar Digvijay Singh M India IND 1952 Summer Summer Helsinki Hockey Hockey Men's Hockey Gold,kunwar digvijay singh india ind summer summer helsinki hockey hockey mens hockey gold,2
111094,Labh Singh,M,25.0,173.0,54.0,India,IND,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Triple Jump,,Labh Singh M India IND 1964 Summer Summer Tokyo Athletics Athletics Men's Triple Jump ,labh singh india ind summer summer tokyo athletics athletics mens triple jump,1
111095,Lakha Singh,M,31.0,180.0,90.0,India,IND,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Heavyweight,,Lakha Singh M India IND 1996 Summer Summer Atlanta Boxing Boxing Men's Heavyweight ,lakha singh india ind summer summer atlanta boxing boxing mens heavyweight,0
111096,Madho Singh,M,31.0,170.0,78.0,India,IND,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Middleweight, Freestyle",,"Madho Singh M India IND 1960 Summer Summer Roma Wrestling Wrestling Men's Middleweight, Freestyle ",madho singh india ind summer summer roma wrestling wrestling mens middleweight freestyle,0
111096,Madho Singh,M,35.0,170.0,78.0,India,IND,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Welterweight, Freestyle",,"Madho Singh M India IND 1964 Summer Summer Tokyo Wrestling Wrestling Men's Welterweight, Freestyle ",madho singh india ind summer summer tokyo wrestling wrestling mens welterweight freestyle,0
